Category,Subcategory,Data description,Attributes
Administrative boundaries,Country boundary,Country boundary,Polygons with official names and IDs
Administrative boundaries,Parish boundaries,Parish boundaries,Polygons with official names and IDs
Topography,Digital elevation map,Digital elevation map,Raster with elevation
Population counts,Current population,Population counts at some spatial scale - gridded or admin level,Raster or polygon areas with population counts
Population counts,Future population,Future projection scenarios linked to some spatial scale or admin levels,Raster or polygon areas with population counts
Households,Household locations,Residential Building footprints,Polygon areas or polygon building footprints
Households,Socio-economic indicators,"Building or area level survey information on gender, age, employment and industry of households",Polygon areas or polygon building footprints
Macroeconomic indicators,Current GDP,GDP at some spatial scale - gridded or admin level,Raster or polygon areas with GDP
Macroeconomic indicators,Future GDP,Future projection scenarios linked to some spatial scale or admin levels,Raster or polygon areas with GDP
Commercial and Industrial activity,Businesses and firm locations,"Building footprints or land areas with industry type, number of firms, employees, revenue",Polygon areas or polygon building footprints with industry name and type IDs
Flooding,River flooding,Return period maps with baseline predictions and future climate projection-based estimates,Raster with flood depths
Flooding,Surface water flooding,Return period maps with baseline predictions and future climate projection-based estimates,Raster with flood depths
Flooding,Coastal flooding,Return period maps with baseline predictions and future climate projection-based estimates,Raster with flood depths
Storms,Cyclones,Return period maps with baseline predictions and future climate projection-based estimates,Raster with wind speeds
Landslides,Landslide susceptibility,Maps with baseline predictions and future climate projection-based estimates,Raster with susceptibility scores
Droughts,Severity-duration-frequency,Return period maps with baseline predictions and future climate projections,Raster with rainfall severity estimates
Precipitation,Rainfall,Return period maps with baseline predictions and future climate projections,Raster with rainfall
Precipitation,Rainfall time series,Daily rainfall time- series of precipitation at rainfall gauges over recorded history,Location of rain gauge and time-series values
Stream flow,Stream flow time series,Daily time- series of stream flows at gauges over recorded history,Location of stream gauge and time-series values
Water quality,Water quality time series,Daily water quality time-series at measurement gauges over recorded history (in particular suspended sediment and turbidity),Location of measurement gauge and time-series values
Temperature,Temperature,Maps with baseline predictions and future climate projection-based estimates,Raster with temperature
Energy supply,Generation,Power plants,"Point or polygon node locations with name and ID, fuel type, capacity (MW), baseload factor (% capacity), downtimes (days per year)"
Energy supply,Generation,Solar farms,"Point or polygon node locations with name and ID, capacity (MW), area (m2), efficiency (%)"
Energy supply,Generation,Wind turbines,"Point or polygon node locations with name and ID, capacity (MW), efficiency (%), power curve, brand/model of turbine"
Energy supply,Transmission and distribution,Substations,"Point or polygon node locations with name and ID, conversion step (e.g. 100 to 200kV)"
Energy supply,Transmission and distribution,Transformers,"Point or polygon node locations with name and ID, conversion step (e.g. 100 to 200kV)"
Energy supply,Transmission and distribution,Power poles,Point or polygon node locations with name and ID
Energy supply,Transmission and distribution,"High, Medium and Low voltage overhead lines","Line geometry with edge ID, connecting ends with node IDs, capacity (MW), voltage (kV), losses (%)"
Energy demand,Industry demand,Firms or business types,Polygon areas or polygon building footprints with industry name and type
Energy demand,Industry demand,Firms or business types,Demand curves (Mwh/h)
Energy demand,Household demand,Households,Population areas or polygon residential footprints with number of residents
Energy demand,Household demand,Households,Per capita demand (MW/person)
Energy demand,Household demand,Households,Demand curves (Mwh/h)
Transport assets,Road,Junctions,Point node locations with name and ID
Transport assets,Road,Roads,"Line geometry with name and ID, connecting ends with junction node IDs, road class, material, condition, width, lanes, vertical alignment, speed"
Transport assets,Road,Bridges,"Point or polygon node locations with name and ID, capacity (bridge tonnage)"
Transport assets,Rail,Stations,"Point or polygon node locations with name and ID, function (Passenger/Cargo/Both)"
Transport assets,Rail,Rail Tracks,"Line geometry with edge ID, connecting ends with rail station node IDs, speed, capacity"
Transport assets,Maritime/Inland,Ports,"Point or polygon node locations with name and ID, capacity (tonnes/day, passengers/day, TEU/day), commodity specialism"
Transport assets,Maritime/Inland,Waterways,"Line geometry with edge ID, connecting ends with port node IDs, speed"
Transport assets,Airlines,Airports,"Point or polygon node locations with name and ID, capacity (tonnes/day, passengers/day)"
Transport assets,Airlines,Air routes,"Line geometry with edge ID, connecting ends with airport node IDs"
Transport demands,All transport,Travel patterns,Origin-destination matrix - High level OD data by zonal level and by transport mode (passenger and freight commodity specific
Transport demands,All transport,Travel locations,"Locations of points of interest for known travel patterns – e.g. markets, agriculture sites, industries, etc."
Transport demands,All transport,Travel statistics,"Vehicle traffic statistics – Vehicles, Passengers and cargo tons - annual or daily - at ports, airports, railways stations, road sections"
Transport demands,All transport,Travel costs,"Transport travel costs - Vehicle operating costs (US$/vehicle type), Commodity tariffs (US$/ton or US$/tons-km), Waiting times and costs at intermodal transfer points (US$/hour))"
Water supply,Water,"Sources (springs, wells, rivers)","Point or polygon node locations with name and ID, design/operational capacity - milion gallons/day (mg/d)"
Water supply,Water,Dams and reservoir,"Point or polygon node locations with name and ID, design/operational capacity - milion gallons (mg)"
Water supply,Water,Water treatment plants,"Point or polygon node locations with name and ID, design/operational capacity - milion gallons/day (mg/d)"
Water supply,Water,Pumping stations,"Point or polygon node locations with name and ID, design/operational capacity - milion gallons/day (mg/d)"
Water supply,Water,Potable storage tanks,"Point or polygon node locations with name and ID, design/operational capacity - milion gallons (mg)"
Water supply,Water,Pipelines,"Line geometry with edge ID, connecting ends with water node IDs, capacity and losses (million gallons/day mg/d)"
Water supply,Water,Rural schemes + rainwater harvesting,"Polygon areas, Rainwater harvesting capacity (mg)"
Water supply,Wastewater,Wastewater treatment plants,"Point or polygon node locations with name and ID, Capacity (mg/d)"
