"# Table of Jamaica Industrial Classification (JIC) 2005 → 2016 mapping, along with three-sector classification",,,,,,
"# Prepared by T. Russell and F. Thomas, March 2026",,,,,,
"# Three sector: 1: Agriculture, forestry, fishing, and mining; 2: Manufacturing, utilities and construction; 3: Services",,,,,,
"Three sector","Sector (2016)","Subsector (2016)","Sector (2005)","Subsector (2005)","Description (2016)","Description (2005)"
1,"A ",1,"A ",1,"Crop and animal production, hunting and related service activities ","Agriculture, hunting and related service activities "
1,"A ",2,"A ",2,"Forestry and logging ","Forestry, logging and related service activities "
1,"A ",3,"B ",5,"Fishing and aquaculture ","Fishing, operation of fish hatcheries and fish farms "
1,"B ",5,"C ",10,"Mining of coal and lignite ","Mining of coal and lignite; extraction of peat "
1,"B ",6,"C ",11,"Extraction of crude petroleum and natural gas ","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying "
1,"B ",7,"C ",13,"Mining of metal ores ","Mining of metal ores "
1,"B ",8,"C ",14,"Other mining and quarrying ","Other mining and quarrying "
1,"B ",9,"C ",11,"Mining support service activities ","Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying "
2,"C ",10,"D ",15,"Manufacture of food products ","Manufacture of food products and beverages "
2,"C ",11,"D ",15,"Manufacture of beverages ","Manufacture of food products and beverages "
2,"C ",12,"D ",16,"Manufacture of tobacco products ","Manufacture of tobacco products "
2,"C ",13,"D ",17,"Manufacture of textiles ","Manufacture of textiles "
2,"C ",14,"D ",18,"Manufacture of wearing apparel ","Manufacture of wearing apparel; dressing and dyeing of fur "
2,"C ",15,"D ",19,"Manufacture of leather and related products ","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear "
2,"C ",16,"D ",20,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ","Manufacture of wood and products of wood and cork, (except furniture) and manufacture of articles of straw and plaiting materials "
2,"C ",17,"D ",21,"Manufacture of paper and paper products ","Manufacture of paper and paper products "
2,"C ",18,"D ",22,"Printing and reproduction of recorded media ","Publishing, printing and reproduction of recorded media "
2,"C ",19,"D ",23,"Manufacture of coke and refined petroleum products ","Manufacture of coke , refined petroleum products and nuclear fuel "
2,"C ",20,"D ",24,"Manufacture of chemicals and chemical products ","Manufacture of chemicals and chemical products "
2,"C ",21,"D ",24,"Manufacture of pharmaceuticals, medicinal chemical and botanical products ","Manufacture of chemicals and chemical products "
2,"C ",22,"D ",25,"Manufacture of rubber and plastics products ","Manufacture of rubber and plastic products "
2,"C ",23,"D ",26,"Manufacture of other non-metallic mineral products ","Manufacture of other non-metallic mineral products "
2,"C ",24,"D ",27,"Manufacture of basic metals ","Manufacture of basic metals "
2,"C ",25,"D ",28,"Manufacture of fabricated metal products, except machinery and equipment ","Manufacture of fabricated metal products, except machinery and equipment "
2,"C ",26,"D ",32,"Maufacture of computer, electronic and optical products ","Manufacture of radio, television and communication equipment and apparatus "
2,"C ",27,"D ",31,"Manufacture of electrical equipment ","Manufacture of electrical machinery and apparatus n.e.c. "
2,"C ",29,"D ",34,"Manufacture of motor vehicles, trailers and semi-trailers ","Manufacture of motor vehicles, trailers and semi-trailers "
2,"C ",30,"D ",35,"Manufacture of other transport equipment ","Manufacture of other transport equipment "
2,"C ",31,"D ",36,"Manufacture of furniture ","Manufacture of furniture; manufacturing n.e.c. "
2,"C ",32,"D ",36,"Other manufacturing ","Manufacture of furniture; manufacturing n.e.c. "
2,"C ",33,"D ",28,"Repair and installation of machinery and equipment ","Manufacture of fabricated metal products, except machinery and equipment "
2,"D ",35,"E ",40,"Electric power generation, transmission and distribution ","Electricity, gas, steam and hot water supply "
2,"E ",36,"E ",41,"Water collection, treatment and supply ","Collection, purification and distribution of water "
2,"E ",37,"E ",90,"Sewerage ","Sewage and refuse disposal, sanitation and similar activities "
2,"E ",38,"E ",90,"Waste collection treatment and disposal activities; material recovery ","Sewage and refuse disposal, sanitation and similar activities "
2,"E ",38,"E ",37,"Materials recovery ","Recycling "
2,"E ",39,"E ",90,"Remediation activities and other waste management services ","Sewage and refuse disposal, sanitation and similar activities "
2,"F ",41,"F ",45,"Construction of buildings ","Construction "
2,"F ",42,"F ",45,"Civil engineering ","Construction "
2,"F ",43,"F ",45,"Specialized construction activities ","Construction "
3,"G ",45,"G ",50,"Wholesale and retail trade and repair of motor vehicles and motorcycles ","Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel "
3,"G ",46,"G ",51,"Wholesale trade, except of motor vehicles and motorcycles ","Wholesale trade and commission trade, except of motor vehicles and motorcycles "
3,"G ",47,"G ",52,"Retail trade, except of motor vehicles and motorcycles ","Retail trade, (except of motor vehicles and motorcycles); repair of personal and household goods "
3,"H ",49,"I ",60,"Land transport and transport via pipelines ","Land transport; transport via pipelines "
3,"H ",50,"I ",61,"Water transport ","Water transport "
3,"H ",51,"I ",62,"Air transport ","Air transport "
3,"H ",52,"I ",63,"Warehousing and support activities for transport ","Supporting and auxiliary transport activities; activities of travel agencies "
