hazard,path,rp,rcp,epoch,confidence,key
coastal,hazards/Coastal_flood_data/Flood_maps_current_climate/JamaicaJAM001RCPbaseline2010_epsg_32618_RP_1.tif,1,baseline,2010,,coastal__rp_1__rcp_baseline__epoch_2010__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_current_climate/JamaicaJAM001RCPbaseline2010_epsg_32618_RP_2.tif,2,baseline,2010,,coastal__rp_2__rcp_baseline__epoch_2010__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_current_climate/JamaicaJAM001RCPbaseline2010_epsg_32618_RP_5.tif,5,baseline,2010,,coastal__rp_5__rcp_baseline__epoch_2010__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_current_climate/JamaicaJAM001RCPbaseline2010_epsg_32618_RP_10.tif,10,baseline,2010,,coastal__rp_10__rcp_baseline__epoch_2010__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_current_climate/JamaicaJAM001RCPbaseline2010_epsg_32618_RP_50.tif,50,baseline,2010,,coastal__rp_50__rcp_baseline__epoch_2010__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_current_climate/JamaicaJAM001RCPbaseline2010_epsg_32618_RP_100.tif,100,baseline,2010,,coastal__rp_100__rcp_baseline__epoch_2010__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP26_2050/JamaicaJAM001RCP262050_epsg_32618_RP_1.tif,1,2.6,2050,,coastal__rp_1__rcp_2x6__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP26_2050/JamaicaJAM001RCP262050_epsg_32618_RP_2.tif,2,2.6,2050,,coastal__rp_2__rcp_2x6__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP26_2050/JamaicaJAM001RCP262050_epsg_32618_RP_5.tif,5,2.6,2050,,coastal__rp_5__rcp_2x6__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP26_2050/JamaicaJAM001RCP262050_epsg_32618_RP_10.tif,10,2.6,2050,,coastal__rp_10__rcp_2x6__epoch_2050__conf_None
coastal,hazards/Coastal_flood_data/Flood_maps_future_climate/RCP26_2050/JamaicaJAM001RCP262050_epsg_32618_RP_50.tif,50,2.6,2050,,coastal__rp_50__rcp_2x6__epoch_2050__conf_None
