sector,asset_description,asset_gpkg,asset_layer,asset_id_column,asset_min_cost_column,asset_max_cost_column,asset_mean_cost_column,asset_reopen_cost_column,asset_cost_unit_column,asset_reopen_cost_unit_column,flooding_asset_damage_lookup_column,TC_asset_damage_lookup_column,coastal_asset_damage_lookup_column,fluvial_asset_damage_lookup_column,surface_asset_damage_lookup_column,cyclone_asset_damage_lookup_column,path,single_failure_scenarios
transport,rail stations,rail,nodes,node_id,min_damage_cost,max_damage_cost,mean_damage_cost,none,cost_unit,none,asset_type,none,asset_type,asset_type,asset_type,none,networks/transport/rail.gpkg,economic_losses/single_failure_scenarios/single_point_failure_rail_stations_economic_losses.csv
transport,rail lines,rail,edges,edge_id,min_damage_cost,max_damage_cost,mean_damage_cost,none,cost_unit,none,asset_type,none,asset_type,asset_type,asset_type,none,networks/transport/rail.gpkg,economic_losses/single_failure_scenarios/single_point_failure_road_rail_edges_economic_losses.csv
transport,airports,airport_polygon,areas,node_id,maximum_damage_lower,maximum_damage_upper,maximum_damage,none,unit,none,asset_type,asset_type,asset_type,asset_type,asset_type,asset_type,networks/transport/airport_polygon.gpkg,economic_losses/single_failure_scenarios/single_point_failure_airports_economic_losses.csv
transport,ports,port_polygon,areas,node_id,maximum_damage_lower,maximum_damage_upper,maximum_damage,none,unit,none,asset_type,asset_type,asset_type,asset_type,asset_type,asset_type,networks/transport/port_polygon.gpkg,economic_losses/single_failure_scenarios/single_point_failure_ports_economic_losses.csv
water,irrigation nodes,irrigation_assets_NIC,nodes,node_id,min_damage_cost,max_damage_cost,,none,cost_unit,none,asset_type_flood_damage,asset_type_hurricane_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,networks/water/irrigation_assets_NIC.gpkg,economic_losses/single_failure_scenarios/single_point_failure_irrigation_nodes_economic_losses.csv
water,irrigation pipes,irrigation_assets_NIC,edges,edge_id,min_damage_cost,max_damage_cost,,none,cost_unit,none,asset_type_flood_damage,asset_type_hurricane_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,networks/water/irrigation_assets_NIC.gpkg,economic_losses/single_failure_scenarios/single_point_failure_irrigation_edges_economic_losses.csv
water,potable nodes,potable_facilities_NWC,nodes,node_id,min_damage_cost,max_damage_cost,,none,cost_unit,none,asset_type_flood_damage,asset_type_hurricane_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,networks/water/potable_facilities_NWC.gpkg,economic_losses/single_failure_scenarios/single_point_failure_potable_facilities_economic_losses.csv
water,wastewater nodes,waste_water_facilities_NWC,nodes,node_id,min_damage_cost,max_damage_cost,,none,cost_unit,none,asset_type_flood_damage,asset_type_hurricane_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_flood_damage,asset_type_hurricane_damage,networks/water/waste_water_facilities_NWC.gpkg,none
water,potable pipelines,pipelines_NWC,edges,edge_id,min_damage_cost,max_damage_cost,,none,cost_unit,none,asset,none,asset,asset,asset,none,networks/water/pipelines_NWC.gpkg,economic_losses/single_failure_scenarios/single_point_failure_potable_pipelines_economic_losses.csv
transport,roads,roads,edges,edge_id,min_damage_cost,max_damage_cost,mean_damage_cost,reopen_cost,cost_unit,reopen_cost_unit,asset_type,none,asset_type,asset_type,asset_type,none,networks/transport/roads.gpkg,economic_losses/single_failure_scenarios/single_point_failure_road_rail_edges_economic_losses.csv
energy,electricity nodes,electricity_network_v3.1,nodes,id,cost_min,cost_max,cost_avg,none,cost_uom,none,subtype,subtype,subtype,subtype,subtype,subtype,networks/energy/electricity_network_v3.1.gpkg,economic_losses/single_failure_scenarios/single_point_failure_electricity_nodes_economic_losses.csv
energy,electricity lines,electricity_network_v3.1,edges,id,cost_min,cost_max,cost_avg,none,cost_uom,none,none,asset_type,none,none,none,asset_type,networks/energy/electricity_network_v3.1.gpkg,economic_losses/single_failure_scenarios/single_point_failure_electricity_edges_economic_losses.csv
buildings,buildings,buildings_assigned_economic_activity,areas,osm_id,min_damage_cost,max_damage_cost,mean_damage_cost,none,cost_unit,none,building_type,building_type,building_type,building_type,building_type,building_type,buildings/buildings_assigned_economic_activity.gpkg,buildings/buildings_assigned_economic_activity.gpkg
